dataset,accession,sample_id,model,treatment,dose_uM,duration_h,replicate,batch,analysis_role,exclusion_reason,matrix_column,source_metadata
GSE336490,GSM9836209,GSM9836209_HIEC6_Con_1,HIEC6,Vehicle,0.0,24.0,1,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836209_HIEC6_Con_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836210,GSM9836210_HIEC6_Con_2,HIEC6,Vehicle,0.0,24.0,2,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836210_HIEC6_Con_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836211,GSM9836211_HIEC6_Con_3,HIEC6,Vehicle,0.0,24.0,3,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836211_HIEC6_Con_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836233,GSM9836233_HIEC6_PFOA_1,HIEC6,PFOA,112.2,24.0,1,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836233_HIEC6_PFOA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836234,GSM9836234_HIEC6_PFOA_2,HIEC6,PFOA,112.2,24.0,2,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836234_HIEC6_PFOA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836235,GSM9836235_HIEC6_PFOA_3,HIEC6,PFOA,112.2,24.0,3,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836235_HIEC6_PFOA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836236,GSM9836236_HIEC6_PFTeDA_1,HIEC6,PFTeDA,1.647,24.0,1,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836236_HIEC6_PFTeDA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836237,GSM9836237_HIEC6_PFTeDA_2,HIEC6,PFTeDA,1.647,24.0,2,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836237_HIEC6_PFTeDA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836238,GSM9836238_HIEC6_PFTeDA_3,HIEC6,PFTeDA,1.647,24.0,3,R25GIR0643,DISCOVERY_PRIMARY,,GSM9836238_HIEC6_PFTeDA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836239,GSM9836239_HL7702_Con_1,HL7702,Vehicle,0.0,24.0,1,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836239_HL7702_Con_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836240,GSM9836240_HL7702_Con_2,HL7702,Vehicle,0.0,24.0,2,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836240_HL7702_Con_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836241,GSM9836241_HL7702_Con_3,HL7702,Vehicle,0.0,24.0,3,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836241_HL7702_Con_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836263,GSM9836263_HL7702_PFOA_1,HL7702,PFOA,346.0,24.0,1,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836263_HL7702_PFOA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836264,GSM9836264_HL7702_PFOA_2,HL7702,PFOA,346.0,24.0,2,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836264_HL7702_PFOA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836265,GSM9836265_HL7702_PFOA_3,HL7702,PFOA,346.0,24.0,3,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836265_HL7702_PFOA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836266,GSM9836266_HL7702_PFTeDA_1,HL7702,PFTeDA,20.41,24.0,1,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836266_HL7702_PFTeDA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836267,GSM9836267_HL7702_PFTeDA_2,HL7702,PFTeDA,20.41,24.0,2,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836267_HL7702_PFTeDA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836268,GSM9836268_HL7702_PFTeDA_3,HL7702,PFTeDA,20.41,24.0,3,R25GIR0643,SENSITIVITY_CONTEXT_ONLY,HeLa derivative/misidentified; not hepatic evidence,GSM9836268_HL7702_PFTeDA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836269,GSM9836269_BEAS2B_Con_1,BEAS2B,Vehicle,0.0,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836269_BEAS2B_Con_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836270,GSM9836270_BEAS2B_Con_2,BEAS2B,Vehicle,0.0,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836270_BEAS2B_Con_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836271,GSM9836271_BEAS2B_Con_3,BEAS2B,Vehicle,0.0,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836271_BEAS2B_Con_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836293,GSM9836293_BEAS2B_PFOA_1,BEAS2B,PFOA,288.4,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836293_BEAS2B_PFOA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836294,GSM9836294_BEAS2B_PFOA_2,BEAS2B,PFOA,288.4,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836294_BEAS2B_PFOA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836295,GSM9836295_BEAS2B_PFOA_3,BEAS2B,PFOA,288.4,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836295_BEAS2B_PFOA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836296,GSM9836296_BEAS2B_PFTeDA_1,BEAS2B,PFTeDA,6160.0,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836296_BEAS2B_PFTeDA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836297,GSM9836297_BEAS2B_PFTeDA_2,BEAS2B,PFTeDA,6160.0,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836297_BEAS2B_PFTeDA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836298,GSM9836298_BEAS2B_PFTeDA_3,BEAS2B,PFTeDA,6160.0,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836298_BEAS2B_PFTeDA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836299,GSM9836299_HaCaT_Con_1,HaCaT,Vehicle,0.0,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836299_HaCaT_Con_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836300,GSM9836300_HaCaT_Con_2,HaCaT,Vehicle,0.0,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836300_HaCaT_Con_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836301,GSM9836301_HaCaT_Con_3,HaCaT,Vehicle,0.0,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836301_HaCaT_Con_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836323,GSM9836323_HaCaT_PFOA_1,HaCaT,PFOA,38.01,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836323_HaCaT_PFOA_1,GEO family SOFT + supplementary count file
