package,version
AnnotationDbi,1.72.0
Biobase,2.70.0
BiocGenerics,0.56.0
Biostrings,2.78.0
DBI,1.3.0
DelayedArray,0.36.1
GSEABase,1.72.0
GenomicRanges,1.62.1
IRanges,2.44.0
KEGGREST,1.50.0
Matrix,1.7-5
MatrixGenerics,1.22.0
R6,2.6.1
RColorBrewer,1.1-3
RSQLite,2.4.6
Rcpp,1.1.1
S4Arrays,1.10.1
S4Vectors,0.48.1
S7,0.2.1
Seqinfo,1.0.0
SparseArray,1.10.10
SummarizedExperiment,1.40.0
XML,3.99-0.23
XVector,0.50.0
abind,1.4-8
annotate,1.88.0
bit,4.6.0
bit64,4.6.0-1
blob,1.3.0
cachem,1.1.0
cli,3.6.5
compiler,4.5.3
crayon,1.5.3
data.table,1.18.2.1
dplyr,1.2.0
edgeR,4.8.2
farver,2.1.2
fastmap,1.2.0
generics,0.1.4
ggplot2,4.0.2
glue,1.8.0
graph,1.88.1
grid,4.5.3
gtable,0.3.6
httr,1.4.8
jsonlite,2.0.0
lattice,0.22-9
lifecycle,1.0.5
limma,3.66.0
locfit,1.5-9.12
magrittr,2.0.4
matrixStats,1.5.0
memoise,2.0.1
otel,0.2.0
pillar,1.11.1
pkgconfig,2.0.3
plyr,1.8.9
png,0.1-9
purrr,1.2.2
reshape2,1.4.5
rlang,1.1.7
scales,1.4.0
singscore,1.30.0
splines,4.5.3
statmod,1.5.1
stats4,4.5.3
stringi,1.8.7
stringr,1.6.0
tibble,3.3.1
tidyr,1.3.2
tidyselect,1.2.1
tools,4.5.3
vctrs,0.7.2
x86,64-w64-mingw32
xtable,1.8-8
