"family_id","dataset","context","role","contrast","contrast_type","pathway","set_size","overlap_genes","coverage_fraction","eligible","camera_n_genes","camera_direction","camera_p_value","camera_fdr","score_effect","score_standardized_effect","score_t","score_p_value","score_fdr","score_direction"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","TNF-alpha Signaling via NF-kB",200,171,0.855,TRUE,171,"UP",1.05018223737755e-05,7.50130169555391e-05,0.0195653135053457,9.17892731396249,10.3241480672409,4.41822979319633e-08,3.5419667018417e-07,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Hypoxia",200,165,0.825,TRUE,165,"UP",0.0220157015202829,0.0611547264452302,0.00852279374073439,3.53010800826432,4.29092590223787,0.000688309826815112,0.00149632571046763,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Cholesterol Homeostasis",74,69,0.932432432432432,TRUE,69,"UP",0.0148317512794965,0.0559028915918833,0.0107544591598319,2.89547545866302,4.34063225846655,0.000624747404573409,0.00141988046493957,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Mitotic Spindle",199,195,0.979899497487437,TRUE,195,"DOWN",0.377893463988217,0.49722824208976,-0.000823980439933092,-0.436092902970083,-0.451976923359417,0.657956754583122,0.699953994237364,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Wnt-beta Catenin Signaling",42,35,0.833333333333333,TRUE,35,"UP",0.0405954520522691,0.0966558382196883,0.0173570882063614,9.0762678402204,9.48673181949624,1.3011085036904e-07,7.2283805760578e-07,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","TGF-beta Signaling",54,52,0.962962962962963,TRUE,52,"UP",0.0457074870952525,0.10388065248921,0.0193941504178273,14.7333157185611,11.553236534173,1.01814327425675e-08,1.01814327425675e-07,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","IL-6/JAK/STAT3 Signaling",87,57,0.655172413793103,TRUE,57,"UP",3.07866028985089e-10,3.84832536231361e-09,0.0338851307998315,24.4139190315368,19.9974559313959,5.5600501508473e-12,2.78002507542365e-10,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","DNA Repair",150,146,0.973333333333333,TRUE,146,"UP",0.975741494626864,0.988452081941531,-0.000435623992159434,-0.104371926991996,-0.16002588964504,0.875253829720441,0.89311615277596,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","G2-M Checkpoint",200,198,0.99,TRUE,198,"UP",0.0178191722591489,0.0573610189430577,0.00951781309175426,4.90695022893749,5.17973845216557,0.000123838692046697,0.000364231447196166,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Apoptosis",161,143,0.888198757763975,TRUE,143,"UP",0.182355834406505,0.284930991260164,0.00964174704450832,4.22549807008938,4.96319208692398,0.00018649112394145,0.000518030899837361,"UP"
