pathway,Primary common-five analysis,All-available-dose sensitivity analysis,Lowest-four-dose sensitivity analysis,family3_common_five_strong_contexts,family3_common_five_weak_contexts,family3_common_five_family_vote,family3_common_five_family_weak_support,family3_common_five_model_restricted,family3_common_five_context_states,family3_all_available_strong_contexts,family3_all_available_weak_contexts,family3_all_available_family_vote,family3_all_available_family_weak_support,family3_all_available_model_restricted,family3_all_available_context_states,family3_lowest_four_strong_contexts,family3_lowest_four_weak_contexts,family3_lowest_four_family_vote,family3_lowest_four_family_weak_support,family3_lowest_four_model_restricted,family3_lowest_four_context_states,reproducibility_grade_varies,dose_definitions
Adipogenesis,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Allograft Rejection,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Androgen Response,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Angiogenesis,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Apical Junction,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Apical Surface,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Apoptosis,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Bile Acid Metabolism,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,1,0,DOWN,,True,liver_spheroid_24h:STRONG_DOWN;liver_spheroid_240h:NO_EVIDENCE,1,0,DOWN,,True,liver_spheroid_24h:STRONG_DOWN;liver_spheroid_240h:NO_EVIDENCE,1,0,DOWN,,True,liver_spheroid_24h:STRONG_DOWN;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Cholesterol Homeostasis,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,2,,,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:WEAK_UP,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Coagulation,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Complement,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
DNA Repair,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
