duration_h,treatment,dose_uM,batch,n
24.0,PFTeDA,0.06,batch2:ctrl01,4
24.0,PFTeDA,0.67,batch2:ctrl01,3
24.0,PFTeDA,3.35,batch2:ctrl01,4
24.0,PFTeDA,6.7,batch2:ctrl01,3
24.0,PFTeDA,17.0,batch2:ctrl017,4
24.0,PFTeDA,33.0,batch2:ctrl03,3
24.0,Vehicle,0.0,batch2:ctrl01,32
24.0,Vehicle,0.0,batch2:ctrl017,5
24.0,Vehicle,0.0,batch2:ctrl03,4
240.0,PFTeDA,0.06,batch4:ctrl01,4
240.0,PFTeDA,0.67,batch4:ctrl01,3
240.0,PFTeDA,3.35,batch4:ctrl01,4
240.0,PFTeDA,6.7,batch4:ctrl01,4
240.0,PFTeDA,17.0,batch4:ctrl017,4
240.0,Vehicle,0.0,batch4:ctrl01,40
240.0,Vehicle,0.0,batch4:ctrl017,4
240.0,Vehicle,0.0,batch4:ctrl03,4
