"model_id","family_id","dataset","context","samples","genes_input","genes_tested","design_columns","design_rank","residual_df_min","normalization"
"F1_HIEC6","FAMILY_1","GSE336490","HIEC6",9,42801,14412,3,3,6,"TMM_edgeR_QL"
"F1_HaCaT","FAMILY_1","GSE336490","HaCaT",9,42801,14200,3,3,6,"TMM_edgeR_QL"
"F1_BEAS2B","FAMILY_1","GSE336490","BEAS2B",9,42801,16251,3,3,6,"TMM_edgeR_QL"
"F1_HL7702","FAMILY_1","GSE336490","HL7702",9,42801,15517,3,3,6,"TMM_edgeR_QL"
"F1_PRIMARY_CONTEXT_INTERACTION","FAMILY_1","GSE336490","HIEC6_vs_HaCaT_study_context",18,42801,16025,6,6,12,"TMM_edgeR_QL"
"F2_iPSC-Hep","FAMILY_2","GSE244107","iPSC-Hep",39,10205,10205,8,8,31,"repository_normalized_counts_log2_plus1_limma_trend"
"F2_iPSC-CM","FAMILY_2","GSE244109","iPSC-CM",25,15095,15095,8,8,17,"repository_normalized_counts_log2_plus1_limma_trend"
"F2_CONTEXT_INTERACTION","FAMILY_2","GSE244107+GSE244109","iPSC_Hep_vs_CM_protocol_context",64,9368,9368,16,16,48,"repository_normalized_counts_log2_plus1_limma_trend"
"F3_liver_24h","FAMILY_3","GSE145239","liver_spheroid_24h",62,2733,2280,9,9,53,"TMM_edgeR_QL"
"F3_liver_240h","FAMILY_3","GSE145239","liver_spheroid_240h",67,2733,2245,8,8,59,"TMM_edgeR_QL"
"F3_DURATION_BATCH_INTERACTION","FAMILY_3","GSE145239","liver_24h_vs_240h_duration_batch",129,2733,2374,17,17,112,"TMM_edgeR_QL"
