family_id,dataset,context,role,contrast,contrast_type,pathway,set_size,overlap_genes,coverage_fraction,eligible,camera_n_genes,camera_direction,camera_p_value,camera_fdr,score_effect,score_standardized_effect,score_t,score_p_value,score_fdr,score_direction,strong,weak,evidence_direction,evidence_class
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,TNF-alpha Signaling via NF-kB,200,171,0.855,True,171.0,UP,1.05018223737755e-05,7.50130169555391e-05,0.0195653135053457,9.17892731396249,10.3241480672409,4.41822979319633e-08,3.5419667018417e-07,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Hypoxia,200,165,0.825,True,165.0,UP,0.0220157015202829,0.0611547264452302,0.0085227937407343,3.53010800826432,4.29092590223787,0.0006883098268151,0.0014963257104676,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Cholesterol Homeostasis,74,69,0.932432432432432,True,69.0,UP,0.0148317512794965,0.0559028915918833,0.0107544591598319,2.89547545866302,4.34063225846655,0.0006247474045734,0.0014198804649395,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Mitotic Spindle,199,195,0.979899497487437,True,195.0,DOWN,0.377893463988217,0.49722824208976,-0.000823980439933,-0.436092902970083,-0.451976923359417,0.657956754583122,0.699953994237364,DOWN,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Wnt-beta Catenin Signaling,42,35,0.833333333333333,True,35.0,UP,0.0405954520522691,0.0966558382196883,0.0173570882063614,9.0762678402204,9.48673181949624,1.3011085036904e-07,7.2283805760578e-07,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,TGF-beta Signaling,54,52,0.962962962962963,True,52.0,UP,0.0457074870952525,0.10388065248921,0.0193941504178273,14.7333157185611,11.553236534173,1.01814327425675e-08,1.01814327425675e-07,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,IL-6/JAK/STAT3 Signaling,87,57,0.655172413793103,True,57.0,UP,3.0786602898508903e-10,3.84832536231361e-09,0.0338851307998315,24.4139190315368,19.9974559313959,5.560050150847299e-12,2.78002507542365e-10,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,DNA Repair,150,146,0.973333333333333,True,146.0,UP,0.975741494626864,0.988452081941531,-0.0004356239921594,-0.104371926991996,-0.16002588964504,0.875253829720441,0.89311615277596,DOWN,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,G2-M Checkpoint,200,198,0.99,True,198.0,UP,0.0178191722591489,0.0573610189430577,0.0095178130917542,4.90695022893749,5.17973845216557,0.0001238386920466,0.0003642314471961,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Apoptosis,161,143,0.888198757763975,True,143.0,UP,0.182355834406505,0.284930991260164,0.0096417470445083,4.22549807008938,4.96319208692398,0.0001864911239414,0.0005180308998373,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Notch Signaling,32,27,0.84375,True,27.0,UP,0.585323260003448,0.636220934786357,0.016248921845029,5.49105939408223,7.45490223895428,2.45767514621334e-06,9.78786681122847e-06,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Adipogenesis,200,179,0.895,True,179.0,UP,0.41981929034404,0.538229859415435,0.0053298907605936,1.79007838342256,2.43766121603642,0.0281558339322875,0.041405638135717,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Estrogen Response Early,200,152,0.76,True,152.0,UP,0.180462908682939,0.284930991260164,0.0069564909820132,5.4521891503485,4.16540708819579,0.0008828178494071,0.0018392038529316,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Estrogen Response Late,200,135,0.675,True,135.0,UP,0.165608149886105,0.276013583143508,0.0089860493913632,3.38061443642921,4.34081633391212,0.0006237230559979,0.0014198804649395,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Androgen Response,100,86,0.86,True,86.0,DOWN,0.988452081941531,0.988452081941531,0.0022999869051444,0.937472128403722,1.15035600578408,0.26857109505838,0.327525725680951,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Myogenesis,200,130,0.65,True,130.0,UP,0.0156528096457273,0.0559028915918833,0.0040423843532651,2.37997296653137,2.28306774360347,0.037936594685058,0.0512656684933216,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Protein Secretion,96,91,0.947916666666667,True,91.0,DOWN,0.0589223865664895,0.123880267473265,-0.0050265587588399,-3.17435647859868,-2.88714445711558,0.0115765411641077,0.0175402138850117,DOWN,False,True,DOWN,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Interferon Alpha Response,97,92,0.948453608247423,True,92.0,UP,9.240255596104791e-61,4.62012779805239e-59,0.0906895190672821,12.3358736900998,17.3150866893615,9.54279969049627e-08,5.96424980656017e-07,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Interferon Gamma Response,200,159,0.795,True,159.0,UP,6.5919021453336596e-34,1.64797553633341e-32,0.0612648247505655,12.9430963783345,19.4968929471099,5.67156891454037e-10,9.45261485756729e-09,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Apical Junction,200,146,0.73,True,146.0,UP,0.0215464420565996,0.0611547264452302,0.0114590555057303,4.66706487815479,5.72948538784106,4.50204889366566e-05,0.000140689027927,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Apical Surface,44,29,0.659090909090909,True,29.0,UP,0.090971815630025,0.162449670767902,0.0169293091061367,14.1061001596656,10.2320668281811,4.95875338257838e-08,3.5419667018417e-07,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Hedgehog Signaling,36,26,0.722222222222222,True,26.0,UP,0.0773382979859462,0.14872749612682,0.0115398874261657,3.27368529282131,4.8080752276258,0.0002509368500182,0.000660360131627,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Complement,200,140,0.7,True,140.0,UP,0.0356288034101465,0.0890720085253661,0.0058109118086696,2.77617750822839,3.08552236438263,0.0077690412423024,0.012530711681133,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Unfolded Protein Response,113,110,0.973451327433628,True,110.0,UP,3.73491287275858e-05,0.0002334320545474,0.0159920417996211,5.80606628926516,7.59907865969476,1.96262173329564e-06,8.92100787861654e-06,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,PI3K/AKT/mTOR  Signaling,105,88,0.838095238095238,True,88.0,DOWN,0.515236060656064,0.5854955234728,-0.0018793950394759,-4.12903078035403,-1.21361388911173,0.244247088283699,0.307263185067506,DOWN,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,mTORC1 Signaling,200,193,0.965,True,193.0,UP,0.0129451779118298,0.0539382412992908,0.0054095805303688,1.74188946382716,2.42041294399022,0.0291150569990899,0.0415929385701285,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,E2F Targets,200,200,1.0,True,200.0,UP,0.034933775541403,0.0890720085253661,0.0062158739093725,2.51468543570649,3.09924507417253,0.0075569819170057,0.012530711681133,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Myc Targets V1,200,199,0.995,True,199.0,UP,0.348076352423027,0.470373449220306,0.0056604700841858,1.63585723673278,2.38434396624099,0.0312221915998906,0.043364154999848,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Myc Targets V2,58,55,0.948275862068966,True,55.0,UP,0.446217522969562,0.557771903711952,0.0021499384736829,0.652977831062656,0.931743193739231,0.366687409103504,0.436532629885124,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Epithelial Mesenchymal Transition,200,174,0.87,True,174.0,UP,5.46221856634354e-08,5.46221856634354e-07,0.0140135485471669,8.20207051265188,7.90275356065883,1.23263932455494e-06,6.16319662277468e-06,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Inflammatory Response,200,123,0.615,True,123.0,UP,1.58759175625675e-06,1.32299313021395e-05,0.0221995011608035,11.2640680091388,12.0217507250578,6.01473894153418e-09,7.51842367691772e-08,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Xenobiotic Metabolism,200,139,0.695,True,139.0,UP,0.0183555260617785,0.0573610189430577,0.0069417176970957,3.3456366744977,3.6969076893683,0.0022578383127057,0.0045156766254115,UP,False,True,UP,WEAK
