family_id,pathway,eligible_contexts,strong_contexts,weak_contexts,family_vote,family_weak_support,R1_within_family_consistency,model_restricted,supported_context_heterogeneity,context_states
FAMILY_1,Adipogenesis,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Allograft Rejection,2,2,0,UP,,True,False,False,HIEC6:STRONG_UP;HaCaT:STRONG_UP
FAMILY_1,Androgen Response,2,0,0,,,False,False,False,HIEC6:NO_EVIDENCE;HaCaT:NO_EVIDENCE
FAMILY_1,Angiogenesis,2,2,0,UP,,True,False,True,HIEC6:STRONG_UP;HaCaT:STRONG_UP
FAMILY_1,Apical Junction,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Apical Surface,2,0,2,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:WEAK_UP
FAMILY_1,Apoptosis,2,0,2,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:WEAK_UP
FAMILY_1,Bile Acid Metabolism,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Cholesterol Homeostasis,2,1,1,UP,,True,False,False,HIEC6:WEAK_UP;HaCaT:STRONG_UP
FAMILY_1,Coagulation,2,1,0,UP,,False,False,True,HIEC6:NO_EVIDENCE;HaCaT:STRONG_UP
FAMILY_1,Complement,2,0,2,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:WEAK_UP
FAMILY_1,DNA Repair,2,0,0,,,False,False,False,HIEC6:NO_EVIDENCE;HaCaT:NO_EVIDENCE
FAMILY_1,E2F Targets,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Epithelial Mesenchymal Transition,2,2,0,UP,,True,False,False,HIEC6:STRONG_UP;HaCaT:STRONG_UP
FAMILY_1,Estrogen Response Early,2,0,2,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:WEAK_UP
FAMILY_1,Estrogen Response Late,2,0,2,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:WEAK_UP
FAMILY_1,Fatty Acid Metabolism,2,0,1,,UP,False,False,False,HIEC6:NO_EVIDENCE;HaCaT:WEAK_UP
FAMILY_1,G2-M Checkpoint,2,0,2,,,False,False,False,HIEC6:WEAK_UP;HaCaT:WEAK_DOWN
FAMILY_1,Glycolysis,2,1,1,UP,,True,False,False,HIEC6:STRONG_UP;HaCaT:WEAK_UP
FAMILY_1,Hedgehog Signaling,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Hypoxia,2,1,1,UP,,True,False,False,HIEC6:WEAK_UP;HaCaT:STRONG_UP
FAMILY_1,IL-2/STAT5 Signaling,2,1,1,UP,,True,False,False,HIEC6:WEAK_UP;HaCaT:STRONG_UP
FAMILY_1,IL-6/JAK/STAT3 Signaling,2,1,1,UP,,True,False,True,HIEC6:STRONG_UP;HaCaT:WEAK_UP
FAMILY_1,Inflammatory Response,2,1,1,UP,,True,False,True,HIEC6:STRONG_UP;HaCaT:WEAK_UP
FAMILY_1,Interferon Alpha Response,2,2,0,CONFLICT,,False,False,True,HIEC6:STRONG_UP;HaCaT:STRONG_DOWN
FAMILY_1,Interferon Gamma Response,2,2,0,CONFLICT,,False,False,True,HIEC6:STRONG_UP;HaCaT:STRONG_DOWN
