family_id,pathway,expected_context_count,formal_interaction_strong,opposing_strong_contexts,supported_context_heterogeneity,basis,interpretation_label,interaction_context,interaction_camera_fdr_min,interaction_score_fdr_min,interaction_score_abs_std_max
FAMILY_1,Adipogenesis,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.851001027030812,0.307980856360465,1.48788470440959
FAMILY_1,Allograft Rejection,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.754252155909294,0.307980856360465,1.46937801897562
FAMILY_1,Androgen Response,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.774092282081365,0.307980856360465,1.5358114110089
FAMILY_1,Angiogenesis,2,True,False,True,FORMAL_INTERACTION,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.025722295335277,4.122205286586541e-09,14.1699576964201
FAMILY_1,Apical Junction,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.712461187906552,0.0375391278674508,2.75893148569295
FAMILY_1,Apical Surface,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.587129172077807,0.0827074626793792,2.25277937747423
FAMILY_1,Apoptosis,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.730444521770173,0.0442747372419151,3.12476064225441
FAMILY_1,Bile Acid Metabolism,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.754252155909294,0.0779801018462736,2.37770441651864
FAMILY_1,Cholesterol Homeostasis,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.203233655207274,0.101555767101836,2.12264070651206
FAMILY_1,Coagulation,2,True,False,True,FORMAL_INTERACTION,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.0122408319687271,0.0022617436512475,4.20745517953876
FAMILY_1,Complement,2,False,False,False,,STUDY_CONTEXT_CELL_LINE_BATCH,HIEC6_vs_HaCaT_study_context,0.754252155909294,0.779059752032568,0.424879513623651
